"Story","Title","Result","Date","Stability","Duration (s)"
"As a user I want to make bookings in travelocity","Successful hotel booking in travelocity","SUCCESS","2021-02-19T10:31:07.725-05:00[America/Bogota]","0.0","80.34"
"As a user I want to make bookings in travelocity","Search hotel booking in travelocity not exists","SUCCESS","2021-02-19T10:32:28.522-05:00[America/Bogota]","0.0","77.27"
"As a user I want to make bookings in travelocity","Reservation date hotel with more 28 days","SUCCESS","2021-02-19T10:33:46.208-05:00[America/Bogota]","0.0","14.51"
"As a user I want to make bookings in travelocity","Reservation hotel without specify place","SUCCESS","2021-02-19T10:34:01.022-05:00[America/Bogota]","0.0","13.35"
"As a user I want to make bookings in travelocity","Send text message for download App success","FAILURE","2021-02-19T10:34:14.645-05:00[America/Bogota]","0.0","29.13"
"As a user I want to make bookings in travelocity","Send text message with phone number already used","SUCCESS","2021-02-19T10:34:44.167-05:00[America/Bogota]","0.0","16.97"
"As a user I want to make bookings in travelocity","Send text message without specify phone number","SUCCESS","2021-02-19T10:35:01.458-05:00[America/Bogota]","0.0","13.13"
"As a user I want to make bookings in travelocity","Search flights successfully","SUCCESS","2021-02-19T10:35:14.883-05:00[America/Bogota]","0.0","0.23"
"As a user I want to make bookings in travelocity","Search for flights without selecting origin or destination","SUCCESS","2021-02-19T10:35:15.122-05:00[America/Bogota]","0.0","0.23"
"As a user I want to make bookings in travelocity","Search multiple flights without selecting any kind of information","SUCCESS","2021-02-19T10:35:15.363-05:00[America/Bogota]","0.0","0.16"
"As a user I want to make bookings in travelocity","Search vehicle to rent successfully","SUCCESS","2021-02-19T10:35:15.533-05:00[America/Bogota]","0.0","0.23"
"As a user I want to make bookings in travelocity","Search vehicle to rent without checking any option","SUCCESS","2021-02-19T10:35:15.766-05:00[America/Bogota]","0.0","0.06"
"As a user I want to make bookings in travelocity","Find transportation to the airport with wrong information","SUCCESS","2021-02-19T10:35:15.829-05:00[America/Bogota]","0.0","0.11"
"As a user I want to make bookings in travelocity","Make package reservation by selecting Hotels and Flights","SUCCESS","2021-02-19T10:35:15.941-05:00[America/Bogota]","0.0","0.12"
"As a user I want to make bookings in travelocity","Make package reservation by selecting Hotels and Cars","SUCCESS","2021-02-19T10:35:16.07-05:00[America/Bogota]","0.0","0.1"
"As a user I want to make bookings in travelocity","Make package reservation by selecting Flights and Cars","SUCCESS","2021-02-19T10:35:16.171-05:00[America/Bogota]","0.0","0.12"
"As a user I want to make bookings in travelocity","Consult things to do successfully","SUCCESS","2021-02-19T10:35:16.29-05:00[America/Bogota]","0.0","0.13"
"As a user I want to make bookings in travelocity","Consult cruises without specifying search criteria","SUCCESS","2021-02-19T10:35:16.422-05:00[America/Bogota]","0.0","0.05"
"As a user I want to make bookings in travelocity","Consult cruises specifying search criteria and dates with short time","SUCCESS","2021-02-19T10:35:16.475-05:00[America/Bogota]","0.0","0.12"
